Player,Pos,PPG,APG,RPG,PPG_norm,APG_norm,RPG_norm,Score,Label
Ruben Wolkowyski,PF,0.7142857142857143,0.1428571428571428,0.1428571428571428,0.01977086079286221,0.009826152683295536,0.007656395891690006,0.012221922125841106,Reserva
Loren Woods,C,2.1052631578947367,0.5,2.5,0.05827201075790967,0.03439153439153439,0.1339869281045752,0.10131291352927144,Reserva
Qyntel Woods,PF,2.4150943396226414,0.2264150943396226,1.0,0.06684789158643223,0.015573525007487267,0.05359477124183007,0.0525301764272894,Reserva
Metta World,SF,15.478260869565217,2.869565217391304,5.246376811594203,0.4284259573548924,0.19737750172532778,0.2811783650658331,0.3306796089278088,Role Player
Lorenzen Wright,C,11.385714285714286,1.1428571428571428,7.542857142857143,0.31514752103822363,0.07860922146636432,0.4042577030812325,0.344959800306843,Role Player
Vincent Yarbrough,SG,6.88135593220339,2.2033898305084745,2.7457627118644066,0.1904704622824217,0.15155591426777865,0.14715852442671984,0.16624225550542412,Reserva
Wang Zhizhi,C,4.439024390243903,0.2439024390243902,1.8780487804878048,0.12286866658588516,0.01677635823977287,0.10065359477124183,0.09893039266248793,Reserva
Shareef Abdur-Rahim,PF,16.28235294117647,2.047058823529412,7.517647058823529,0.4506825867323508,0.1408029878618114,0.4029065743944637,0.38031264073282633,Role Player
Malik Allen,PF,4.2444444444444445,0.3555555555555555,2.6444444444444444,0.1174828483558079,0.02445620223398001,0.1417283950617284,0.11565162479049397,Reserva
Ray Allen,SG,22.982142857142858,4.785714285714286,5.107142857142857,0.6361274460103417,0.32917611489040055,0.27371615312791786,0.44086465498588046,Role Player
Rafer Alston,PG,10.21951219512195,4.536585365853658,2.756097560975609,0.2828679741729993,0.3120402632597754,0.14771241830065357,0.2906963409227701,Role Player
Chris Andersen,PF,3.422535211267605,0.4929577464788732,4.197183098591549,0.09473305410889751,0.033907146583202916,0.22494706802908956,0.15071617494013934,Reserva
Derek Anderson,SG,13.607843137254902,4.470588235294118,3.5686274509803924,0.37665428130088086,0.3075007780890134,0.1912597718826093,0.31191397813247956,Role Player
Kenny Anderson,PG,5.954545454545454,2.840909090909091,1.8409090909090908,0.16481708497322406,0.1954064454064454,0.09866310160427808,0.17680406602138743,Reserva
Shandon Anderson,SG,7.9375,1.525,2.775,0.21970369056068131,0.10489417989417989,0.14872549019607845,0.15958424622116016,Reserva
Carmelo Anthony,SF,21.036585365853657,2.768292682926829,6.073170731707317,0.5822759611556371,0.1904116660214221,0.3254901960784314,0.4140280843517721,Role Player
Robert Archibald,C-PF,1.0,0.40625,1.625,0.027679205110007096,0.027943121693121693,0.08709150326797387,0.0,Reserva
Gilbert Arenas,PG,19.6,5.0,4.618181818181818,0.5425124201561391,0.3439153439153439,0.2475103980986334,0.42846378093286624,Role Player
Brandon Armstrong,SG,2.696428571428572,0.25,0.7678571428571429,0.07463499949305487,0.017195767195767195,0.04115312791783381,0.04496293225909559,Reserva
Darrell Armstrong,PG,10.632911392405065,3.9367088607594938,2.8607594936708862,0.29431053534691093,0.27077891634853657,0.15332175064118475,0.2754952866124374,Role Player
Carlos Arroyo,PG,12.633802816901408,5.0,2.605633802816901,0.3496936194883995,0.3439153439153439,0.13964834760195158,0.3363022181075493,Role Player
Chucky Atkins,PG,8.40625,3.484375,1.453125,0.23267831795599714,0.2396660052910053,0.07787990196078431,0.22843224082374058,Reserva
Stacey Augmon,SF,5.753623188405797,1.2318840579710144,2.5217391304347827,0.15925571635757704,0.08473276589218617,0.13515203182722366,0.1359148366788752,Reserva
Vin Baker,PF,9.833333333333334,1.2222222222222223,5.185185185185185,0.2721788502484031,0.08406819517930629,0.27789881384652626,0.24682223378710016,Reserva
Marcus Banks,PG,5.925925925925926,2.1604938271604937,1.6419753086419753,0.1640249191704124,0.14860539551897575,0.08800129105139999,0.15251397593874347,Reserva
Leandro Barbosa,PG,7.857142857142857,2.357142857142857,1.7571428571428571,0.2174794687214843,0.1621315192743764,0.09417366946778712,0.18364020403524547,Reserva
Matt Barnes,SF,4.5,1.263157894736842,3.973684210526316,0.12455642299503193,0.08688387635756056,0.21296869625043002,0.14796620930692697,Reserva
Dana Barros,SG,6.0,0.0,0.0,0.16607523066004257,0.0,0.0,0.06643009226401703,Reserva
Brent Barry,SG,10.76271186440678,5.796610169491525,3.457627118644068,0.29790330923482217,0.39870863599677153,0.18531073446327687,0.31570692498529285,Role Player
Jon Barry,SG,6.157894736842105,2.5789473684210527,2.1578947368421053,0.1704456314668858,0.17738791423001948,0.11565187478500173,0.16226379323576248,Reserva
Mengke Bateer,C,1.1428571428571428,0.1428571428571428,1.1428571428571428,0.03163337726857954,0.009826152683295536,0.06125116713352008,0.04722332872901546,Reserva
Tony Battie,C,5.589041095890411,0.7945205479452054,4.917808219178082,0.15470021486140953,0.054649561498876564,0.263568806518041,0.21001630451913508,Reserva
Shane Battier,SF,8.468354430379748,1.2784810126582278,3.835443037974684,0.23439731922271834,0.0879378474315183,0.20555969223132295,0.19501225541748993,Reserva
Lonny Baxter,C-PF,4.048387096774194,0.3225806451612903,3.0161290322580645,0.11205613681631905,0.022188086704215734,0.16164874551971328,0.0,Reserva
